单词,词向量,近似top20
china,"[ 0.34232682  0.01890767 -0.09183151 -0.15083449 -0.05524255  0.104605
  0.01391708  0.26872793  0.1733331  -0.24890065  0.05155282 -0.19853227
 -0.05316281  0.08504124  0.03609784  0.26526865 -0.03817409  0.00135281
 -0.328326    0.03261006 -0.0324829   0.21129295  0.29705513 -0.24413386
  0.08243545 -0.22428468 -0.1993099   0.04047061 -0.14963621 -0.1807189
 -0.2717859  -0.08415261  0.03570328  0.18422242 -0.07234998 -0.24906313
  0.11770096  0.04963413 -0.13229729  0.24966815  0.06300989 -0.413485
  0.06485869 -0.08797913  0.21325506 -0.12933087  0.10458045 -0.13776861
 -0.06055218  0.11486277]","['workers', 'failed', 'understanding', 'say', 'global', 'economic', 'let', 'challenges', 'socialist', 'among', 'developing', 'operation', 'issue', 'political', 'properly', 'process', 'part', 'province', '40', 'members']"
people,"[ 0.00915091  0.2475532   0.17337324  0.19450504 -0.12989168 -0.03044685
  0.07022556 -0.08192653 -0.05599247 -0.18202572  0.08201506  0.06903996
 -0.0450404  -0.12235425  0.06048998  0.06957191 -0.2612489  -0.09680295
  0.25086212  0.13875893  0.45033368 -0.07752017 -0.17462564 -0.2355418
 -0.14483434  0.04312811 -0.04529258 -0.11555906 -0.2824732   0.15052207
 -0.01181855 -0.12281381 -0.02746534 -0.12391559  0.20540054 -0.12076437
 -0.2574134   0.07530347  0.1163755   0.06334853  0.15697646 -0.06494801
  0.31780192 -0.09629845 -0.18512021  0.207388    0.3752469   0.0707252
  0.20209415  0.22302048]","['failed', 'properly', '50', 'political', 'united', 'willing', 'department', 'zemin', 'back', 'cadres', 'since', 'reason', 'socialist', 'nuclear', 'give', 'opinions', 'korea', 'high', 'technological', 'national']"
taiwan,"[-0.00116878 -0.08903272  0.06576838 -0.23814178  0.00697306  0.19396104
 -0.08266913 -0.07518158  0.1950366   0.09957258  0.50642234  0.01278195
 -0.4697665  -0.17974089  0.27733272  0.21490762  0.15548779 -0.02806761
 -0.101333    0.29414508 -0.07689594 -0.2513556   0.24329655  0.37320232
  0.21542455 -0.16741219 -0.11092167  0.28865147  0.05213006 -0.07907027
 -0.09876727  0.10450139 -0.28999594 -0.05534809 -0.01863803  0.02354176
  0.00763017  0.07676856 -0.02329056  0.17909001 -0.3687465   0.30383068
 -0.04395207 -0.18821532  0.18601395  0.22355683  0.03425818 -0.01840054
  0.22940163 -0.16789868]","['failed', 'struggle', 'tasks', 'developing', 'supervision', 'implement', 'human', 'summit', 'regarding', 'wish', 'outside', 'plans', 'efforts', 'constitution', 'view', '12', 'person', 'united', 'advanced', 'among']"
development,"[-0.20814562 -0.16117518  0.02528853 -0.23486134 -0.28933606 -0.19373602
  0.15229112  0.28902677  0.09530292  0.2398904  -0.14354408 -0.0653611
  0.06599497 -0.08424155  0.04043091 -0.01281852  0.05561827  0.04503319
 -0.2718162  -0.02267277 -0.36130285  0.2821737   0.12855986 -0.18403548
 -0.32947227  0.18118885 -0.07639492 -0.04503272  0.03764689 -0.25026122
  0.27533856 -0.06176944  0.18830854  0.17893812  0.1850176  -0.05963299
 -0.13405083  0.09844181  0.16284779  0.02673397  0.348794    0.07287107
  0.01873551 -0.20130299  0.10478193 -0.04002462 -0.01649434  0.2735826
  0.14355202  0.29124215]","['failed', 'political', 'south', 'agricultural', 'territory', 'legal', 'responsible', 'zemin', 'began', 'basis', 'problems', 'shuibian', 'since', 'cpc', 'accordance', 'extremely', 'tenghui', 'economic', 'conditions', 'struggle']"
said,"[ 1.22631036e-01  1.14455901e-01  1.51372664e-02 -8.81727114e-02
  1.37838542e-01  1.73528749e-03 -2.77828872e-01 -1.47482112e-01
 -1.48417637e-01  1.90709844e-01  2.03847513e-01 -1.46688938e-01
 -7.09698768e-03 -1.78088188e-01  2.75036437e-04 -1.90240785e-01
 -7.72141218e-02  1.26839414e-01 -2.39808381e-01 -1.52719259e-01
  1.12314016e-01 -1.71471059e-01  2.16547310e-01 -3.08171928e-01
  6.75451308e-02 -5.91745079e-02 -1.12961240e-01  3.07319257e-02
  1.35527223e-01 -3.40882614e-02  1.92319363e-01  1.98726118e-01
 -1.76029846e-01  6.63154051e-02  3.77797261e-02  2.03575969e-01
 -2.23492876e-01 -1.45275876e-01 -2.32735321e-01 -5.44266999e-02
  3.73381376e-03 -2.06445262e-01  9.94319096e-02  3.94037694e-01
  9.89208147e-02  2.20410317e-01 -2.91444212e-02  2.49654830e-01
  1.96384653e-01 -2.55912960e-01]","['constitution', 'human', 'year', 'failed', 'united', 'adopted', 'struggle', 'anniversary', 'workers', 'trust', 'structural', 'industry', 'motherland', 'since', 'conditions', 'basis', 'dialogue', 'modernization', 'bush', 'plans']"
chinese,"[ 0.12227295  0.11723141  0.04448917  0.003438   -0.2266798   0.23603837
  0.08112962 -0.2192594  -0.01608335  0.3721033  -0.19307522  0.2893773
 -0.05227365  0.16622613 -0.02867218  0.28188443  0.30510795 -0.21009111
 -0.16905917 -0.14835557 -0.15011986  0.02927487  0.46862867 -0.38743508
  0.03376542 -0.00288398  0.07393178  0.04496038 -0.4349926   0.04261218
  0.08518621 -0.15840161 -0.24198012 -0.11416692  0.11707709  0.63594
  0.04096299 -0.04372187 -0.01854391 -0.02262875 -0.14714703 -0.24554652
  0.08956951 -0.18506002 -0.41967583 -0.3405686   0.17377114 -0.42247888
  0.1607537  -0.06037779]","['including', 'generation', 'fine', '12', 'increased', 'failed', 'regulations', 'outstanding', 'speech', 'support', 'production', 'wish', 'real', 'project', 'situation', 'made', 'cult', 'history', 'regarding', 'parties']"
countries,"[ 0.01460656  0.44663483 -0.07608712 -0.01473267 -0.03821027 -0.35821143
 -0.12498103 -0.06217647 -0.1889289   0.21118017 -0.14565966 -0.19106477
  0.24142326  0.17312558 -0.06617877 -0.14462873 -0.09708488 -0.02768979
  0.18947     0.13020618  0.04317507  0.03951585 -0.04184984  0.05480779
  0.2039617  -0.02043664 -0.02709475 -0.18540464 -0.19328928 -0.1192982
  0.00514294  0.11639135  0.12514324  0.2941999   0.19593096 -0.11685
  0.05683501 -0.10619383  0.03857994 -0.0434515  -0.09669363  0.06263046
  0.02759761 -0.00602855  0.19450143 -0.15157029  0.21653879 -0.022929
  0.25155777  0.07163525]","['failed', 'political', 'united', 'position', 'paid', 'see', 'shuibian', 'wei', 'department', 'basis', 'back', 'korean', 'investment', 'compatriots', 'properly', 'high', 'work', 'contacts', 'resolutely', 'financial']"
two,"[ 0.22833222  0.21953782 -0.27523082 -0.25592664 -0.28737786 -0.01556078
  0.23348284 -0.16580413  0.12043556  0.20997001  0.23154595  0.2410418
  0.3338551  -0.06167864  0.1341907   0.01980238  0.00788383 -0.15779984
 -0.07944333 -0.1887107   0.25591698  0.16572364  0.26854864  0.36545828
 -0.05776386  0.014527    0.48987487  0.40585554 -0.28984058 -0.10192751
 -0.00863762  0.18357925  0.2605635   0.16757494 -0.06366965 -0.22897981
  0.13172582  0.15247671 -0.20472705 -0.30838856  0.35177597 -0.03192989
 -0.12825663 -0.08613553 -0.21815845 -0.24382839 -0.1503398   0.24042225
  0.09329377  0.16427705]","['failed', 'rate', 'basis', 'total', 'invitation', 'strive', 'chen', 'committees', 'sea', 'political', 'common', 'nearly', 'readjustment', 'step', 'statement', 'enterprises', 'members', 'carry', 'even', 'need']"
also,"[-0.121302    0.09711208  0.02642826  0.03094381  0.06377186  0.1743765
 -0.1247627   0.30196428 -0.0351468  -0.04513104 -0.07567081  0.02044892
  0.2991339  -0.07671527  0.08079295  0.00466244 -0.6015651  -0.18473691
  0.07875505  0.23552911 -0.2473978   0.07327184  0.15707865  0.24465522
  0.09120546  0.19346555 -0.04971235  0.04409257  0.26311532  0.08553706
  0.03828265 -0.34955922 -0.00087372  0.2121821  -0.12385216 -0.17550148
 -0.04166965 -0.33788723  0.13534936 -0.11013693 -0.03443908  0.03117106
  0.2076691   0.04536546 -0.14344984  0.07381173 -0.12342173 -0.256986
  0.0895736  -0.25600904]","['failed', 'seen', 'cpc', 'zemin', 'among', 'management', 'practical', 'addition', 'make', 'reason', 'advanced', 'future', 'progress', 'building', 'country', 'promote', 'common', 'global', 'missile', 'amount']"
new,"[ 0.43376443 -0.11148248 -0.0673411  -0.01229602 -0.38779756  0.40562496
  0.2856609  -0.21728362  0.2443081   0.42151257 -0.2512567   0.16192856
 -0.2608826  -0.04789503 -0.06556173 -0.03344329 -0.03637254  0.2413826
  0.3618168  -0.19027604 -0.01056135 -0.06258531 -0.13910246 -0.20635252
  0.33411384  0.04531545 -0.08461846 -0.301017    0.2212967  -0.0553427
  0.3527504  -0.15192793  0.44021946  0.1493803   0.01951644 -0.05177933
 -0.09510435  0.29266593 -0.3478638   0.16068064 -0.11167502  0.10366043
 -0.1699584   0.1050098  -0.07288684  0.23880762 -0.01734285 -0.3277474
 -0.05810042 -0.13995212]","['failed', 'talks', 'resolutely', 'rich', 'operation', 'chen', 'reason', 'regions', 'center', 'task', 'history', 'cultural', '3', 'met', 'congress', 'iraq', 'struggle', 'importance', 'water', 'later']"
